experiment,run,event
12,3331,3159738
12,3331,5798089
18,771,7076928
12,4728,4624109
22,173,12844214
14,2047,12479392
24,2196,11476339
24,1873,10041281
24,872,28753689
26,158,8096229
12,4308,21751379
18,1259,9777984
22,44,48606384
18,2775,30256323
18,1324,14771839
17,191,53481669
12,5441,6206815
12,4452,19972905
10,3507,3438936
10,4724,2153884
22,571,6361646
22,398,16844954
12,3211,808635
14,2020,1860086
14,2020,14444407
26,1382,953871
18,227,551709
22,691,17295328
18,136,23557880
12,6056,44923024
26,282,2019306
18,1749,13852240
18,1204,8474470
18,1433,7628926
18,897,14636973
24,2020,7406952
22,598,27296261
24,2094,1773133
12,1651,1959498
12,3275,733800
22,162,14014409
12,4313,10975077
12,5115,11560198
22,41,4019763
12,5219,10186192
24,2096,28413831
26,765,2292539
26,272,2109056
26,1824,43520457
26,1183,44713380
18,2911,26840113
14,1632,9313448
22,593,13262042
22,593,12740677
22,371,19252929
26,1190,56798146
26,543,769284
24,990,2459655
12,4283,13303137
22,247,36441006
22,364,109317082
18,1248,12882
17,313,6629808
24,1758,19797308
18,1342,3856105
18,139,26418930
22,402,24938835
24,965,441790
20,674,4402178
24,1605,15902556
22,239,13791861
12,1582,12727910
12,3391,15722098
22,499,14787646
18,2384,31154173
18,2705,847475
18,1685,19741807
12,4309,33761412
18,1456,40176904
18,1456,45413880
18,1456,31415893
24,1554,9333134
17,121,19651823
17,191,32598546
24,1196,4583344
24,1233,5239228
22,118,37795103
22,118,13601391
22,144,917579
26,1716,16620699
18,959,17912088
18,99,12251951
12,4381,1544625
12,2878,11368120
24,992,24558819
12,3479,1855938
12,5935,16517074
24,1292,18559124
24,1262,1954984
24,1400,6576429
26,295,6420539
24,2093,1500065
14,1163,38771022
14,1762,12804077
22,364,80111598
22,553,15206091
22,553,12744448
24,809,21004923
14,1162,35593417
26,1493,7270907
12,1765,1880406
18,1864,7179898
22,39,21836100
24,1866,10236345
12,4450,4056649
18,420,12400268
14,1149,11856842
24,2074,9390826
20,871,45447310
18,1971,10013214
24,2065,1571815
12,2849,62935348
18,2975,64396317
18,2975,37167077
18,1445,4230221
24,2184,3888232
18,198,8681835
18,2708,3903126
12,2557,4294792
12,5247,45447696
12,5247,9517226
22,386,24865143
22,545,14816885
24,2145,23549627
22,518,5432546
24,2109,16325386
24,2109,17046828
24,2280,272328
10,5702,901058
18,2986,6485989
18,1368,17364548
18,1844,15394005
26,658,5366157
24,1176,4559136
14,853,9683375
24,855,12667361
24,855,11167733
12,6112,6018160
12,2462,2623327
24,825,14325328
20,930,6316337
24,834,1111545
17,102,5495617
17,92,2184470
14,938,8890577
26,671,11851102
18,1219,7662968
24,1815,2110441
24,1815,7810413
20,636,692875
12,4823,619884
12,6057,3107652
12,4915,25679504
18,2382,15019150
24,1843,70787
18,1043,17570263
24,1864,11006016
24,1901,25494328
22,511,3812414
22,373,69554156
22,373,72086615
24,1248,12860912
24,808,29700007
16,941,1108971
24,1206,27480262
22,158,6712469
12,6226,1375238
26,792,33033969
22,159,23562966
18,1037,29113595
18,336,50255592
12,5365,3412625
18,1545,14159331
18,1335,86752252
18,1335,66774151
18,68,18862483
12,1422,674876
26,1438,26038417
26,532,12420778
17,176,1087808
18,1677,21830203
14,930,7072360
18,1231,51624120
24,876,1126811
24,1781,5921606
24,1303,27394524
26,887,86061
22,499,4781461
22,595,63394909
26,103,8494247
12,1652,926244
18,1553,32751881
26,929,3140474
24,2250,34479775
16,724,59928668
