experiment,run,event
22,523,5720179
22,523,11730587
22,523,4719546
22,524,6425770
22,525,18248048
22,525,8672603
22,525,2153197
22,525,20102109
22,525,41571
22,381,6469874
22,526,3211146
22,526,4452587
22,526,3314874
22,526,518945
22,535,10510090
22,535,31683450
22,535,5072601
22,535,25614845
22,535,5337376
22,535,33931675
22,535,35699936
22,535,2115880
22,543,4986853
22,543,8644653
22,544,1652826
22,544,1383907
22,545,19458094
22,545,12481304
22,545,23223420
22,545,21742978
22,545,22322912
22,545,17369843
22,545,16373759
22,545,3749326
22,546,5878764
22,546,4331770
22,547,6135783
22,547,19875134
22,547,11835041
22,547,2774649
22,547,8052162
22,547,5550707
22,547,1192111
22,547,32608374
22,547,1436247
22,381,22064277
22,381,26364522
22,381,20735672
22,381,16043910
22,381,17731750
22,381,20050656
22,381,4189013
22,547,22483630
22,547,13719956
22,550,12023355
22,550,39924289
22,550,35724610
22,550,6036596
22,550,38196103
22,550,21393664
22,550,33071237
22,550,10543762
22,550,23280218
22,550,15743870
22,550,1627566
22,550,3857519
22,550,35138553
22,551,34704973
22,551,18230434
22,551,46302952
22,551,19952920
22,551,19133522
22,551,51379112
22,551,7489250
22,551,50193950
22,551,1700147
22,551,23119024
22,551,58686638
22,551,273930
22,552,17204136
22,552,19848776
22,552,13929262
22,552,16501995
22,552,21877351
22,552,19769470
22,552,1156263
22,552,21370179
22,552,22731740
22,552,12895499
22,552,17742707
22,382,28101644
22,382,23451420
22,382,38602783
22,382,2212314
22,382,37656287
22,382,21857446
22,382,19726365
22,382,27758956
22,382,14213780
22,382,14229320
22,553,6055509
22,553,10594161
22,553,4280977
22,553,3935656
22,555,1431687
22,555,6079527
22,555,6436352
22,555,7094803
22,556,2287699
22,557,23128068
22,557,22175468
22,557,6635341
22,557,12306980
22,557,26094632
22,557,6497338
22,557,23231179
22,557,12419343
22,557,12678393
22,557,12748597
22,557,7132769
22,557,2582489
22,557,10776152
22,557,19421479
22,557,18684723
22,558,18736159
22,558,17100654
22,558,8449584
22,558,10196495
22,560,608680
22,565,1663676
22,565,1715596
22,566,35413321
22,566,4916733
22,566,13730266
22,566,42368212
22,566,44509012
22,566,30550652
22,566,53454083
22,566,37654507
22,566,16560514
22,566,6275530
22,566,19073273
22,382,11783941
22,382,9378236
22,382,20335897
22,382,24617917
22,382,25341738
22,566,36656472
22,566,25962146
22,566,31375540
22,566,31362350
22,566,4522628
22,568,8993461
22,568,27096473
22,568,4679476
22,568,1114623
22,568,3782063
22,568,11454396
22,568,24701742
22,568,19189774
22,568,31366943
22,568,13071155
22,569,9321912
22,569,12459962
22,569,2267978
22,569,11574197
22,571,1126264
22,571,14062605
22,571,15610865
22,571,30587508
22,571,29586955
22,571,13335876
22,571,13490706
22,571,13395367
22,571,18100336
22,571,33654262
22,571,9608469
22,573,3094694
22,574,12878664
22,574,16838989
22,574,17105369
22,382,35419266
22,371,14522181
22,371,19409508
22,371,21661611
22,574,7308779
22,574,11000949
22,574,11455849
22,574,15167131
22,574,6766945
22,574,8700925
22,574,10985785
22,574,3505796
22,575,687162
22,575,1187065
22,575,1833423
22,576,4952795
22,576,267498
22,576,2026778
22,576,1563933
22,576,7429737
22,576,2512983
22,576,5615404
22,576,6962516
22,577,16338309
22,578,4270161
22,578,11581000
22,578,20405785
22,578,22420653
22,578,11515911
22,578,11640354
22,578,9746258
22,579,5128161
22,580,8447688
22,580,13341796
22,580,10933012
22,580,6156485
22,580,15492794
22,580,10030244
22,383,18068208
22,383,3388994
22,383,4561834
22,383,23189239
22,581,12030680
22,581,21219960
22,581,12797705
22,581,16625751
22,581,1896775
22,581,504900
22,581,30247719
22,584,10397981
22,584,7730432
22,584,4862395
22,584,13205061
22,584,11405890
22,584,10780044
22,584,9468213
22,590,3126962
22,590,16332631
22,590,11396268
22,590,13418491
22,590,3427693
22,590,2072260
22,590,13248393
22,590,12442737
22,591,5972268
22,591,895750
22,592,33677312
22,592,12822748
22,592,49400265
22,592,8023846
22,592,10382717
22,592,15256646
22,592,54367982
22,592,34581412
22,592,3738880
22,592,46240266
22,592,25743570
22,593,679327
22,593,6636364
22,594,25731645
22,594,3862062
22,594,4154021
22,594,21826265
22,594,35893319
22,594,25524190
22,594,15668127
22,594,5667965
22,594,6490900
22,594,11797109
22,594,14377126
22,594,1792155
22,595,94950261
22,595,122261664
22,595,35608036
22,595,21682624
22,595,21667454
22,595,84693249
22,595,80769727
22,595,25909257
22,595,33486240
22,595,93735659
22,595,19475015
22,595,93550354
22,595,324178
22,595,22978570
22,595,71281957
22,595,46327823
22,595,51208383
22,595,96133947
22,595,118376062
22,595,39472732
22,595,22900336
22,595,58647988
22,383,750123
22,383,3112713
22,383,880052
22,384,221704
22,385,57278
22,385,711148
22,595,41293074
22,595,61573432
22,595,70436985
22,595,8816534
22,595,51924719
22,595,200556
22,595,112419306
22,595,129274473
22,595,129744883
22,595,80267192
22,596,6177001
22,596,2750828
22,596,4785906
22,597,423424
22,598,15265505
22,598,34384607
22,598,2329841
22,598,35150959
22,598,13185274
22,598,23330723
22,598,6718927
22,599,22797969
22,599,15422886
22,599,16068136
22,599,5924478
22,386,26565383
22,386,27995548
22,386,8520591
22,386,4993610
22,386,24535844
22,600,9448126
22,600,13202255
22,600,4435763
22,600,4837813
22,600,8857911
22,600,10840621
22,600,29396315
22,602,244338
22,604,20361422
22,604,7245892
22,604,13083311
22,604,5224723
22,604,19920771
22,604,3867454
22,604,8215934
22,604,28538698
22,604,22046679
22,604,4484251
22,605,11847048
22,605,2825486
22,605,5331263
22,605,6700298
22,606,4631521
22,606,9596163
22,610,2317371
22,610,8185496
22,610,14399785
22,610,12918099
22,610,2763299
22,611,6196345
22,611,3630841
22,611,45498522
22,386,22069240
22,386,8674428
22,611,9285909
22,611,9769839
22,611,67403811
22,611,39204336
22,611,43521639
22,611,38779532
22,611,17140150
22,611,7755431
22,611,61426279
22,611,60274613
22,611,5424987
22,611,42347175
